StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Informed Consent,Sex,Age,Race,Education,PID,Q40_1,Q40_3,Q37_1,Q37_3,Q36,Q35,Q56,Q57,Q58,Q42_1,Q42_3,Q50_1,Q50_3,Q51,Q52,Q32,Q33,Q34,Q41,Q42,Q43,Q47,Q48,Q49,Q46,Q45,Q44,SurveyID,FL_36_DO,FL_37_DO,FL_40_DO,FL_53_DO,FL_38_DO,FL_41_DO,FL_67_DO,FL_39_DO,FL_42_DO,FL_81_DO,FL_17_DO,FL_28_DO,FL_29_DO,FL_30_DO,FL_18_DO,FL_20_DO,FL_21_DO,FL_22_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Thank you for your interest in this study!

 

We are asking you to take part in a research study about social and political attitudes. If you choose to be in the study you will be presented information about a political topic and then complete a short survey. The estimated time for the whole survey will be 2-3 minutes. The survey is anonymous, and no one will be able to link your answers back to you. Please do not include your name or other information that could be used to identify you in the survey responses. This research study is voluntary. 

 

Please indicate your desire to participate in this survey.",What is your gender,What is your age range?,What is your ethnicity?,Education,Which of the following best describes your political affiliation,People can vary in how human-like they seem. Some people seem highly evolved whereas others seem no different than lower animals. Using the image below indicate using the sliders how evolved you consider the average member of each group to be. - Democrats,People can vary in how human-like they seem. Some people seem highly evolved whereas others seem no different than lower animals. Using the image below indicate using the sliders how evolved you consider the average member of each group to be. - Republicans,Please indicate how you feel towards each of these groups - Republicans,Please indicate how you feel towards each of these groups - Democrats,Democrats don't like Republicans,Democrats see Republicans as sub-human,"When, if ever, is it OK for your preferred political party to send threatening and intimidating messages to leaders of the party you oppose?","When, if ever, is it OK for an ordinary
supporter of your party in the public to harass an ordinary supporter of the opposing party on the
Internet, in a way that makes the target feel unsafe?",How much do you feel it is justified for the party you support to use violence in advancing their political goals these days?,People can vary in how human-like they seem. Some people seem highly evolved whereas others seem no different than lower animals. Using the image below indicate using the sliders how evolved you consider the average member of each group to be. - Republicans,People can vary in how human-like they seem. Some people seem highly evolved whereas others seem no different than lower animals. Using the image below indicate using the sliders how evolved you consider the average member of each group to be. - Democrats,Please indicate how you feel towards each of these groups - Democrats,Please indicate how you feel towards each of these groups - Republicans,Republicans don't like Democrats,Republicans see Democrats as sub-human,"Overall, how satisfied are you with Donald Trumps performance in office?",Donald Trump was qualified and fit to hold the office of the Presidency,Where would you rank Donald Trump in comparison to other Presidents?,"Overall, how satisfied are you with Hilary Clinton's performance in office?",Hillary Clinton was qualified and fit to hold political office,Where would you rank Hilary Clinton in comparison to other politicians,I would feel bad if someone who refused to wear a mask in public got punched in the face because of it.,"If all the people spreading misinformation about the virus were to suddenly die, we would be a lot better off.",Sometimes I wish people who downplay the virus would just get it themselves.,Law enforcement is justified in using force against unruly protestors.,Protestors who cause chaos are just asking to get hurt.,Seeing protestors getting pepper sprayed or tear gassed by law enforcement is disturbing.,SurveyID,FL_36 - Block Randomizer - Display Order,FL_37 - Block Randomizer - Display Order,FL_40 - Block Randomizer - Display Order,FL_53 - Block Randomizer - Display Order,FL_38 - Block Randomizer - Display Order,FL_41 - Block Randomizer - Display Order,FL_67 - Block Randomizer - Display Order,FL_39 - Block Randomizer - Display Order,FL_42 - Block Randomizer - Display Order,FL_81 - Block Randomizer - Display Order,FL_17 - Block Randomizer - Display Order,FL_28 - Block Randomizer - Display Order,FL_29 - Block Randomizer - Display Order,FL_30 - Block Randomizer - Display Order,FL_18 - Block Randomizer - Display Order,FL_20 - Block Randomizer - Display Order,FL_21 - Block Randomizer - Display Order,FL_22 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_3""}","{""ImportId"":""QID49_1""}","{""ImportId"":""QID49_3""}","{""ImportId"":""QID48""}","{""ImportId"":""QID47""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_3""}","{""ImportId"":""QID50_1""}","{""ImportId"":""QID50_3""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID58""}","{""ImportId"":""QID57""}","{""ImportId"":""QID56""}","{""ImportId"":""SurveyID""}","{""ImportId"":""FL_36_DO""}","{""ImportId"":""FL_37_DO""}","{""ImportId"":""FL_40_DO""}","{""ImportId"":""FL_53_DO""}","{""ImportId"":""FL_38_DO""}","{""ImportId"":""FL_41_DO""}","{""ImportId"":""FL_67_DO""}","{""ImportId"":""FL_39_DO""}","{""ImportId"":""FL_42_DO""}","{""ImportId"":""FL_81_DO""}","{""ImportId"":""FL_17_DO""}","{""ImportId"":""FL_28_DO""}","{""ImportId"":""FL_29_DO""}","{""ImportId"":""FL_30_DO""}","{""ImportId"":""FL_18_DO""}","{""ImportId"":""FL_20_DO""}","{""ImportId"":""FL_21_DO""}","{""ImportId"":""FL_22_DO""}"
4/11/2021 18:47,4/11/2021 18:47,Survey Preview,,100,28,TRUE,4/11/2021 18:47,R_3P5G4YOYU3Wk6Mt,,,,,29.73730469,-95.39720154,preview,EN,I do not wish to participate in the survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SV_2aQQe3EAlqQASJE,,,,,,,,,,,,,,,,,,
4/11/2021 18:47,4/11/2021 18:51,Survey Preview,,100,202,TRUE,4/11/2021 18:51,R_3G8S0mOAGB5vEhA,,,,,29.73730469,-95.39720154,preview,EN,Start the survey,Non-binary / third gender,51+,"Black or African American,American Indian or Alaska Native","Some high school, no diploma",Strong Republican,100,0,100,50,Agree,Somewhat agree,1 (never),1 (never),1 (not at all),,,,,,,,,,Extremely dissatisfied,Strongly disagree,One of the worst,,,,,,,315051,,,,,,,,,,,,,,,FL_20,RCI,,
4/11/2021 18:51,4/11/2021 18:54,Survey Preview,,100,187,TRUE,4/11/2021 18:54,R_Z4g6vkCxZyx0aMp,,,,,29.73730469,-95.39720154,preview,EN,Start the survey,Prefer not to say,18-25,White,Master's Degree,Independent,100,100,91,100,Agree,Somewhat agree,1 (never),1 (never),1 (not at all),,,,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Somewhat agree,332780,FL_38,,,,FL_67,,RCV,,,,,,,,,,,
4/11/2021 18:56,4/11/2021 18:57,Survey Preview,,100,62,TRUE,4/11/2021 18:57,R_2QtTieYBGNX9kOk,,,,,29.73730469,-95.39720154,preview,EN,Start the survey,Female,36-40,Other,,Lean Democrat,,,,,,,1 (never),1 (never),1 (not at all),100,100,100,100,Strongly agree,Somewhat agree,,,,,,,,,,,,,831915,,,,,,,,,,,FL_30,,,FL_181,,,,
4/11/2021 18:58,4/11/2021 18:59,Survey Preview,,100,20,TRUE,4/11/2021 18:59,R_3sghu3lkXnTYBqR,,,,,29.70559692,-95.40200043,preview,EN,Start the survey,,,,,Independent,,,,,,,4 (always),4 (always),3,45,45,15,13,Somewhat agree,Neither agree nor disagree,,,,,,,,,,,,,769197,FL_39,,,,,,,FL_81,,FL_190,,,,,,,,
4/11/2021 18:58,4/11/2021 18:59,Survey Preview,,100,64,TRUE,4/11/2021 18:59,R_2xPJV7E9NzWen8S,,,,,29.73730469,-95.39720154,preview,EN,Start the survey,Female,41-45,Native Hawaiian or Pacific Islander,Doctorate Degree,Independent,100,100,47,48,Somewhat disagree,Neither agree nor disagree,4 (always),4 (always),5 (a great deal),,,,,,,,,,,,,,,,,,,811835,FL_39,,,,,,,FL_42,RTG,,,,,,,,,
4/11/2021 19:00,4/11/2021 19:01,Survey Preview,,100,39,TRUE,4/11/2021 19:01,R_2vYv25w5XYQdIRS,,,,,29.73730469,-95.39720154,preview,EN,Start the survey,,,,,Independent,,,,,,,3,2,3,100,100,50,51,Strongly agree,Somewhat agree,,,,,,,,,,,,,459190,FL_39,,,,,,,FL_81,,FL_190,,,,,,,,
4/11/2021 19:00,4/11/2021 19:03,Survey Preview,,100,130,TRUE,4/11/2021 19:03,R_3O1ib6Ox59ozJVs,,,,,29.70559692,-95.40200043,preview,EN,Start the survey,,,,,Independent,,,,,,,3,1 (never),3,41,32,34,21,Somewhat agree,Agree,,,,,,,Somewhat disagree,Somewhat agree,Neither agree nor disagree,,,,638189,FL_38,,,,FL_41,DTV,,,,,,,,,,,,
