"","sex","age","race","education","PID","PID7","partisan","ascent_D","ascent_R","therm_D","therm_R","meta_prejudice","meta_dehum","political_threats","political_harassment","political_violence","toxic","experiment","version","target_party","condition"
"5","Non-binary / third gender","51+","Black or African American,American Indian or Alaska Native","Some high school, no diploma","Strong Republican",7,1,100,0,50,100,"Agree ","Somewhat agree ",1,1,1,3,"RCI","Image","Republican","Control"
"6","Prefer not to say","18-25","White","Master's Degree","Independent",4,0,100,100,100,91,"Agree ","Somewhat agree ",1,1,1,3,"RCV","Vignette","Republican","Control"
"7","Female","36-40","Other","","Lean Democrat",3,1,100,100,100,100," Strongly agree"," Somewhat agree",1,1,1,3,"DCG","Graph","Democrat","Control"
"8","","","","","Independent",4,0,45,45,15,13," Somewhat agree"," Neither agree nor disagree",4,4,3,11,"DCG","Graph","Democrat","Control"
"9","Female","41-45","Native Hawaiian or Pacific Islander","Doctorate Degree","Independent",4,0,100,100,48,47,"Somewhat disagree ","Neither agree nor disagree ",4,4,NA,NA,"RTG","Graph","Republican","Treatment"
"10","","","","","Independent",4,0,100,100,50,51," Strongly agree"," Somewhat agree",3,2,3,8,"DCG","Graph","Democrat","Control"
"11","","","","","Independent",4,0,32,41,34,21," Somewhat agree"," Agree",3,1,3,7,"DTV","Vignette","Democrat","Treatment"
"12","","","","","Independent",4,0,57,58,61,60," Somewhat disagree"," Somewhat agree",3,1,4,8,"DCV","Vignette","Democrat","Control"
"13","Female","36-40","","Master's Degree","Independent",4,0,21,22,19,18,"Disagree ","Agree ",3,3,4,10,"RCG","Graph","Republican","Control"
"14","","","","Doctorate Degree","Independent",4,0,51,52,51,50,"Neither agree nor disagree ","Somewhat agree ",3,1,3,7,"RTV","Vignette","Republican","Treatment"
"15","","","","Some high school, no diploma","Independent",4,0,46,44,46,48," Disagree"," Neither agree nor disagree",2,2,4,8,"DCV","Vignette","Democrat","Control"
"16","","","","","Independent",4,0,68,56,30,42,"Neither agree nor disagree ","Neither agree nor disagree ",2,1,2,5,"RCV","Vignette","Republican","Control"
"17","Non-binary / third gender","51+","Black or African American","Bachelor's Degree","Independent",4,0,54,62,54,51," Neither agree nor disagree"," Neither agree nor disagree",3,1,2,6,"DCI","Image","Democrat","Control"
"18","Non-binary / third gender","41-45","","","Independent",4,0,60,59,30,31,"Somewhat disagree ","Somewhat agree ",3,3,3,9,"RTV","Vignette","Republican","Treatment"
"19","Male","18-25","White","Associate Degree","Democrat",2,1,56,84,65,94," Strongly agree"," Neither agree nor disagree",4,1,4,9,"DCG","Graph","Democrat","Control"
"20","Male","26-30","American Indian or Alaska Native","Bachelor's Degree","Democrat",2,1,95,87,96,92," Agree"," Somewhat agree",2,3,2,7,"DCG","Graph","Democrat","Control"
"21","Male","26-30","White","Some college credit, no degree","Strong Democrat",1,1,49,1,47,0," Strongly agree"," Strongly agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"22","Female","26-30","White","Bachelor's Degree","Independent",4,0,50,48,49,48,"Neither agree nor disagree ","Neither agree nor disagree ",2,3,3,8,"RCG","Graph","Republican","Control"
"23","Male","26-30","White","Bachelor's Degree","Republican",6,1,63,78,65,71,"Strongly agree ","Strongly agree ",4,4,3,11,"RCI","Image","Republican","Control"
"24","Female","31-35","Asian or Asian American","Master's Degree","Independent",4,0,55,98,60,95,"Somewhat agree ","Somewhat disagree ",3,3,3,9,"RTG","Graph","Republican","Treatment"
"25","Male","51+","White","Bachelor's Degree","Republican",6,1,70,97,79,91,"Somewhat agree ","Somewhat disagree ",1,1,1,3,"RCG","Graph","Republican","Control"
"26","Female","26-30","White","Some college credit, no degree","Lean Democrat",3,1,65,25,20,0," Strongly agree"," Strongly agree",1,1,1,3,"DTV","Vignette","Democrat","Treatment"
"27","Female","26-30","White","Master's Degree","Democrat",2,1,64,28,51,31," Agree"," Strongly agree",2,2,2,6,"DTV","Vignette","Democrat","Treatment"
"28","Female","18-25","Asian or Asian American","Master's Degree","Independent",4,0,100,100,100,100,"Neither agree nor disagree ","Neither agree nor disagree ",1,1,1,3,"RCG","Graph","Republican","Control"
"29","Male","26-30","White","Bachelor's Degree","Democrat",2,1,85,52,81,23," Strongly agree"," Strongly agree",2,1,1,4,"DTG","Graph","Democrat","Treatment"
"30","Male","36-40","White","High school graduate, diploma or the equivalent","Democrat",2,1,77,26,40,0," Strongly agree"," Strongly agree",3,1,1,5,"DTV","Vignette","Democrat","Treatment"
"31","Male","26-30","White,Hispanic or Latino/a","High school graduate, diploma or the equivalent","Independent",4,0,1,75,6,10," Strongly agree"," Strongly disagree",1,1,1,3,"DCG","Graph","Democrat","Control"
"32","Male","18-25","Asian or Asian American","High school graduate, diploma or the equivalent","Democrat",2,1,100,74,50,90," Agree"," Agree",2,2,1,5,"DTG","Graph","Democrat","Treatment"
"33","Female","36-40","White","High school graduate, diploma or the equivalent","Independent",4,0,100,100,50,50," Agree"," Agree",1,1,1,3,"DCG","Graph","Democrat","Control"
"34","Male","18-25","White","Associate Degree","Lean Republican",5,1,73,100,23,76,"Agree ","Agree ",1,1,1,3,"RCG","Graph","Republican","Control"
"35","Male","46-50","White","Master's Degree","Democrat",2,1,100,100,71,65," Neither agree nor disagree"," Disagree",1,1,1,3,"DCG","Graph","Democrat","Control"
"36","Male","26-30","White","Bachelor's Degree","Democrat",2,1,86,19,85,0," Agree"," Strongly agree",3,2,3,8,"DCG","Graph","Democrat","Control"
"37","Male","26-30","Asian or Asian American","Bachelor's Degree","Strong Democrat",1,1,100,20,100,10," Strongly agree"," Strongly agree",1,1,1,3,"DCV","Vignette","Democrat","Control"
"38","Female","18-25","Asian or Asian American","Bachelor's Degree","Republican",6,1,72,91,75,88,"Somewhat agree ","Strongly agree ",3,4,3,10,"RCV","Vignette","Republican","Control"
"39","Female","18-25","American Indian or Alaska Native","Bachelor's Degree","Independent",4,0,75,87,48,59,"Agree ","Somewhat agree ",2,2,3,7,"RCI","Image","Republican","Control"
"40","Male","36-40","White","Bachelor's Degree","Strong Democrat",1,1,70,50,65,10," Agree"," Somewhat agree",1,1,1,3,"DCV","Vignette","Democrat","Control"
