"","Total Votes","County","County Office","Candidate","Party","Candidate Type","Election Votes","Percent"
"1","4,565","Anderson County","Race: Constable Pct. 1","DAVID FRANKLIN","R","I","4,565",100
"2","3,636","Anderson County","Race: Constable Pct. 2","DOUG LIGHTFOOT","R","I","2,163",59.4884488448845
"3","3,636","Anderson County","Race: Constable Pct. 2","MARVIN JENKINS","D","N","1,473",40.5115511551155
"4","4,737","Anderson County","Race: Constable Pct. 3","KIM DICKSON-HOLLIDAY","R","I","4,737",100
"5","4,353","Anderson County","Race: Constable Pct. 4","JAMES MUNIZ","R","I","4,353",100
"6","4,565","Anderson County","Race: County Commissioner Pct. 1","GREG CHAPIN","R","I","4,565",100
"7","4,736","Anderson County","Race: County Commissioner Pct. 3","KENNETH DICKSON","R","I","4,736",100
"8","16,995","Anderson County","Race: Sheriff","RUDY FLORES","R","N","16,995",100
"9","16,415","Anderson County","Race: Tax Assessor-Collector","MARGIE H. GRISSOM","R","N","16,415",100
"10","1","Andrews County","Race: Constable Pct. 1 & 4","RONNY R. ALANIZ","R","I","1",100
"11","1","Andrews County","Race: Constable Pct. 2 & 3","DAN GOMEZ","R","I","1",100
"12","1","Andrews County","Race: County Attorney","SEAN B. GALLOWAY","D","N","1",100
"13","1","Andrews County","Race: County Commissioner Pct. 1","KERRY PACK","R","I","1",100
"14","1","Andrews County","Race: County Commissioner Pct. 3","JENEANE ANDEREGG","R","I","1",100
"15","1/1395","Andrews County","Race: District Attorney 109th Judicial District","AMANDA NAVARETTE","R","I","1/1395",NA
"16","1","Andrews County","Race: Sheriff","RUSTY STEWART","R","I","1",100
"17","1","Andrews County","Race: Tax Assessor-Collector","ROBIN HARPER","R","I","1",100
"18","11,698","Angelina County","Race: Constable Pct. 1","TOM SELMAN","R","I","11,698",100
"19","8,819","Angelina County","Race: Constable Pct. 2","TRAE TREVATHAN","R","I","8,819",100
"20","6,650","Angelina County","Race: Constable Pct. 3","CHAD WILSON","R","I","6,650",100
"21","3,393","Angelina County","Race: Constable Pct. 4","CHARLES RAY ANTHONY","R","I","3,393",100
"22","30,556","Angelina County","Race: County Attorney","CARY KIRBY","R","I","30,556",100
"23","9,425","Angelina County","Race: County Commissioner Pct. 1","STEVE ALLEN","R","N","9,425",100
"24","8,980","Angelina County","Race: County Commissioner Pct. 3","TERRY PITTS","R","I","8,980",100
"25","30338/30338","Angelina County","Race: District Attorney 159th Judicial District","JANET R. CASSELS","R","N","30338/30338",NA
"26","29,586","Angelina County","Race: Sheriff","GREG SANCHES","R","I","29,586",100
"27","30,776","Angelina County","Race: Tax Assessor-Collector","BILLIE PAGE","R","I","30,776",100
"28","1","Aransas County","Race: Constable Pct. 1","HARRY DOC THOMAS","R","I","1",100
"29","1","Aransas County","Race: Constable Pct. 2","CHARLES PHILLIPS","R","I","1",100
"30","1","Aransas County","Race: County Attorney","AMANDA OSTER","R","N","1",100
"31","1","Aransas County","Race: County Commissioner Pct. 1","LENDON JACK CHANEY","R","I","1",100
"32","1","Aransas County","Race: County Commissioner Pct. 3","PAT ROUSSEAU","R","N","1",100
"33","1/19284","Aransas County","Race: District Attorney 36th Judicial District","SAMUEL SMITH JR","R","I","1/19284",NA
"34","1","Aransas County","Race: Sheriff","BILL MILLS","R","I","1",100
"35","1","Aransas County","Race: Tax Assessor-Collector","ANNA MARSHALL","R","N","1",100
"36","1,232","Archer County","Race: Constable Pct. 1","DOUG STRANGE","R","I","1,232",100
"37","2,124","Archer County","Race: Constable Pct. 2","DONALD W. STEVENS","R","N","2,124",100
"38","827","Archer County","Race: Constable Pct. 4","BRETT HOFF","R","I","827",100
"39","4,298","Archer County","Race: County Attorney","DAVID A. LEVY","R","I","4,298",100
"40","1,378","Archer County","Race: County Commissioner Pct. 1","WADE SCARBROUGH","R","N","1,378",100
"41","896","Archer County","Race: County Commissioner Pct. 3","PAT MARTIN III","R","I","896",100
"42","4272/13398","Archer County","Race: District Attorney 97th Judicial District","CASEY POLHEMUS","R","I","4272/13398",NA
"43","4,309","Archer County","Race: Sheriff","JACK CURD","R","N","4,309",100
"44","4,395","Archer County","Race: Tax Assessor-Collector","DAWN VIETH","R","I","4,395",100
"45","288","Armstrong County","Race: County Commissioner Pct. 1","ADAM S. ENSEY","R","I","288",100
"46","277","Armstrong County","Race: County Commissioner Pct. 3","ROBERT HARRIS","R","I","277",100
"47","1123/27040","Armstrong County","Race: District Attorney 47th Judicial District","RANDALL C. SIMS","R","I","1123/27040",NA
"48","1,123","Armstrong County","Race: Justice of the Peace","JANA LEMONS","R","I","1,123",100
"49","1,123","Armstrong County","Race: Sheriff","MELISSA ANDERSON","R","N","1,123",100
"50","1,081","Armstrong County","Race: Tax Assessor-Collector","JAMIE CRAIG","R","I","807",74.6530989824237
"51","3,288","Atascosa County","Race: Constable Pct. 1","MIGUEL ""MIKE"" MARES JR","R","I","3,288",100
"52","3,727","Atascosa County","Race: Constable Pct. 2","EDWARD ""ED"" RICHTER","R","I","3,727",100
"53","3,863","Atascosa County","Race: Constable Pct. 3","ARMANDO ""MANDO""  VIDALES","D","N","2,301",59.5651048407973
"54","3,863","Atascosa County","Race: Constable Pct. 3","CREGG M. THOMPSON","R","I","1,562",40.4348951592027
"55","4,519","Atascosa County","Race: Constable Pct. 4","WILLIAM ""BILL"" MEADOWS","R","I","4,519",100
"56","15,034","Atascosa County","Race: County Attorney","LUCINDA A. VICKERS","R","I","15,034",100
"57","3,640","Atascosa County","Race: County Commissioner Pct. 1","DAVID CABALLERO","D","N","1,174",32.2527472527473
"58","3,640","Atascosa County","Race: County Commissioner Pct. 1","MARK GILLESPIE","R","I","2,466",67.7472527472527
"59","3,366","Atascosa County","Race: County Commissioner Pct. 3","ELISEO PEREZ","D","I","3,366",100
"60","14846/41169","Atascosa County","Race: District Attorney 81st Judicial District","AUDREY GOSSETT LOUIS","R","I","14846/41169",NA
"61","16,462","Atascosa County","Race: Sheriff","DAVID SOWARD","R","I","9,046",54.9507957720812
"62","16,462","Atascosa County","Race: Sheriff","RICK LUNA","D","N","7,416",45.0492042279188
"63","15,167","Atascosa County","Race: Tax Assessor-Collector","LORETTA HOLLEY","R","I","15,167",100
"64","3,492","Austin County","Race: Constable Pct. 1","LANCE JOHNSON","R","N","3,492",100
"65","3,737","Austin County","Race: Constable Pct. 2","DAVE LAYNE SCHULZ","R","I","3,737",100
"66","3,223","Austin County","Race: Constable Pct. 4","JAMES CLARK","R","I","3,223",100
"67","3,466","Austin County","Race: County Commissioner Pct. 1","MARK LAMP","R","I","3,466",100
"68","2,893","Austin County","Race: County Commissioner Pct. 3","LEROY CERNY","R","N","2,893",100
"69","3,246","Austin County","Race: County Commissioner Pct. 4","CHIP REED","R","I","3,246",100
"70","13,353","Austin County","Race: Sheriff","JACK BRANDES","R","I","13,353",100
"71","13,430","Austin County","Race: Tax Assessor-Collector","KIM RINN","R","I","13,430",100
"72","1,565","Bailey County","Race: Constable","KENT WILEY","R","I","1,565",100
"73","1,564","Bailey County","Race: County Attorney","JACKIE R. CLABORN II","R","I","1,564",100
"74","469","Bailey County","Race: County Commissioner Pct. 1","GARY DON GARTIN","R","I","469",100
"75","295","Bailey County","Race: County Commissioner Pct. 3","CODY G. BLACK","R","I","295",100
"76","1511/3967","Bailey County","Race: District Attorney 287th Judicial District","KATHRYN HORTON GURLEY","R","I","1511/3967",NA
"77","1,575","Bailey County","Race: Sheriff","RICHARD B. WILLS","R","I","1,575",100
"78","1,601","Bailey County","Race: Tax Assessor-Collector","MARIA A. GONZALEZ","R","I","1,601",100
"79","3,010","Bandera County","Race: Constable Pct. 1","PHILLIP P TOBIN","R","I","3,010",100
"80","2,513","Bandera County","Race: Constable Pct. 2","GREG SPENGLER","R","N","2,513",100
"81","2,652","Bandera County","Race: Constable Pct. 3","DON WALTERS","R","I","2,652",100
"82","2,635","Bandera County","Race: Constable Pct. 4","ROD CHALMERS","R","I","2,635",100
"83","10,727","Bandera County","Race: County Attorney","JANNA LINDIG","R","I","10,727",100
"84","2,989","Bandera County","Race: County Commissioner Pct. 1","BRUCE ELIKER","R","I","2,989",100
"85","2,613","Bandera County","Race: County Commissioner Pct. 3","JACK MOSELEY","R","I","2,613",100
"86","10767/33240","Bandera County","Race: District Attorney 198th Judicial District","STEPHEN HARPOLD","R","N","10767/33240",NA
"87","2,525","Bandera County","Race: Justice of the Peace Pct. 2","GINA GROTHUES","R","I","2,525",100
"88","10,745","Bandera County","Race: Sheriff","DANIEL R. BUTTS","R","I","10,745",100
"89","10,736","Bandera County","Race: Tax Assessor-Collector","REBEKAH ""REBA"" DOUGLAS","R","N","10,736",100
"90","9,064","Bastrop County","Race: Constable Pct. 1","WAYNE WOOD","R","I","9,064",100
"91","7,217","Bastrop County","Race: Constable Pct. 2","AUGUST ""GUS"" MEDUNA","D","I","7,217",100
"92","5,802","Bastrop County","Race: Constable Pct. 3","TIM SPARKMAN","R","I","5,802",100
"93","6,192","Bastrop County","Race: Constable Pct. 4","JOEY DZIENOWSKI","R","N","6,192",100
"94","9,123","Bastrop County","Race: County Commissioner Pct. 1","MELVIN HAMNER","R","I","9,123",100
"95","5,681","Bastrop County","Race: County Commissioner Pct. 3","MARK MEUTH","D","I","5,681",100
"96","8,006","Bastrop County","Race: County Commissioner Pct. 4","CHERYL RENEE' REESE","D","N","3,627",45.3035223582313
"97","8,006","Bastrop County","Race: County Commissioner Pct. 4","DONNA SNOWDEN","R","I","4,379",54.6964776417687
"98","35,924","Bastrop County","Race: Sheriff","MAURICE COOK","R","I","20,486",57.0259436588353
"99","35,924","Bastrop County","Race: Sheriff","MIKE RENCK","D","N","15,438",42.9740563411647
"100","29,356","Bastrop County","Race: Tax Assessor-Collector","ELLEN OWENS","R","N","29,356",100
"101","482","Baylor County","Race: County Commissioner Pct. 1","RICK GILLISPIE","R","I","482",100
"102","338","Baylor County","Race: County Commissioner Pct. 2","LARRY ""PERO"" ELLIOTT","R","N","324",95.8579881656805
"103","343","Baylor County","Race: County Commissioner Pct. 3","REED SLAGGLE","R","N","343",100
"104","1573/3490","Baylor County","Race: District Attorney 50th Judicial District","HUNTER BROOKS","R","N","1573/3490",NA
"105","1,573","Baylor County","Race: Sheriff","SAM MOONEY","R","I","1,573",100
"106","1,611","Baylor County","Race: Tax Assessor-Collector","JEANETTE HOLUB","R","I","1,611",100
"107","1","Bee County","Race: Constable Pct. 1","JOHNNY ""DINO"" SAUCEDA","D","I","1",100
"108","1","Bee County","Race: Constable Pct. 2","MICAELA ""MICKIE"" OCHOA","R","I","1",100
"109","1","Bee County","Race: Constable Pct. 3","STEPHEN PHIPPS","R","N","1",100
"110","1","Bee County","Race: Constable Pct. 4","RONALDO OLIVARES","R","I","1",100
"111","1","Bee County","Race: County Attorney","MIKE KNIGHT","R","I","1",100
"112","2,117","Bee County","Race: County Commissioner Pct. 1","CARLOS SALAZAR JR","D","I","1,023",48.3230987246103
"113","2,117","Bee County","Race: County Commissioner Pct. 1","KRISTOFER LINNEY","R","N","1,094",51.6769012753897
"114","1","Bee County","Race: County Commissioner Pct. 3","SAMUEL FARIAS","R","I","1",100
"115","7091/11801","Bee County","Race: District Attorney 156th Judicial District","JOSE ALISEDA","R","I","7091/11801",NA
"116","1","Bee County","Race: Justice of the Peace Pct. 2","MIKE SHOWALTER","R","N","1",100
"117","1","Bee County","Race: Sheriff","ALDEN SOUTHMAYD III","R","I","1",100
"118","7,519","Bee County","Race: Tax Assessor-Collector","MICHELLE MATUS","R","N","6,860",91.2355366405107
"119","22,816","Bell County","Race: Constable Pct. 1","PATRICIA ""PAT"" DUFFIELD","R","I","22,816",100
"120","7,163","Bell County","Race: Constable Pct. 2","ROLLY CORREA","R","I","7,163",100
"121","23,751","Bell County","Race: Constable Pct. 3","DEVIN ROSENTHAL","R","N","23,751",100
"122","62,613","Bell County","Race: Constable Pct. 4","MARTHA DOMINGUEZ","D","N","36,176",57.7771389328095
"123","62,613","Bell County","Race: Constable Pct. 4","MICHAEL COPELAND","R","N","26,437",42.2228610671905
"124","104,330","Bell County","Race: County Attorney","JIM NICHOLS","R","I","104,330",100
"125","26,001","Bell County","Race: County Commissioner Pct. 1","RUSSELL T. SCHNEIDER","R","I","26,001",100
"126","29,727","Bell County","Race: County Commissioner Pct. 3","BILL SCHUMANN","R","I","29,727",100
"127","104559/104559","Bell County","Race: District Attorney 27th Judicial District","HENRY GARZA","R","I","104559/104559",NA
"128","23,954","Bell County","Race: Justice of the Peace Pct. 3 Place 1","DAVID BARFIELD","R","I","23,954",100
"129","62,788","Bell County","Race: Justice of the Peace Pct. 4 Place 1","GREGORY JOHNSON","D","N","35,491",56.5251321908645
"130","62,788","Bell County","Race: Justice of the Peace Pct. 4 Place 1","MICHAEL KEEFE","R","N","27,297",43.4748678091355
"131","104,828","Bell County","Race: Sheriff","EDDY LANGE","R","I","104,828",100
"132","105,022","Bell County","Race: Tax Assessor-Collector","SHAY LUEDEKE","R","I","105,022",100
"133","1","Bexar County","Race: Constable Pct. 1","RUBEN C. TEJEDA","D","I","1",100
"134","152,124","Bexar County","Race: Constable Pct. 2","CHARLIE PENA JR","R","N","54,174",35.6117377928532
"135","152,124","Bexar County","Race: Constable Pct. 2","LETICIA  R. VAZQUEZ","D","I","97,950",64.3882622071468
"136","1","Bexar County","Race: Constable Pct. 3","MARK VOJVODICH","R","I","1",100
"137","157,384","Bexar County","Race: Constable Pct. 4","KATHRYN BROWN","D","N","96,426",61.2679814974839
"138","157,384","Bexar County","Race: Constable Pct. 4","LARRY RICKETTS","R","N","60,958",38.7320185025161
"139","151,066","Bexar County","Race: County Commissioner Pct. 1","GABRIEL LARA","R","N","52,818",34.9635258761071
"140","151,066","Bexar County","Race: County Commissioner Pct. 1","REBECA ""BECKY"" CLAY-FLORES","D","N","98,248",65.0364741238929
"141","1","Bexar County","Race: County Commissioner Pct. 2","JUSTIN RODRIGUEZ","D","I","1",100
"142","266,604","Bexar County","Race: County Commissioner Pct. 3","CHRISTINE HORTICK","D","N","120,960",45.3706621055948
"143","266,604","Bexar County","Race: County Commissioner Pct. 3","TRISH DEBERRY","R","N","145,644",54.6293378944052
"144","138,155","Bexar County","Race: Justice of the Peace Pct. 2","ROBERTO ""ROBBIE"" VAZQUEZ","D","I","110,715",80.1382505157251
"145","733,339","Bexar County","Race: Sheriff","GERARD C ""GERRY"" RICKHOFF","R","N","278,810",38.0192516694189
"146","733,339","Bexar County","Race: Sheriff","JAVIER SALAZAR","D","I","454,529",61.9807483305811
"147","732,982","Bexar County","Race: Tax Assessor-Collector","ALBERT URESTI","D","I","433,153",59.0946298817706
"148","732,982","Bexar County","Race: Tax Assessor-Collector","STEPHEN DAVID PENNINGTON","R","N","299,829",40.9053701182294
"149","3,053","Blanco County","Race: Constable Pct. 1","PATRICK FISHER","R","N","3,053",100
"150","3,352","Blanco County","Race: Constable Pct. 4","RONNIE STEUBING","R","I","3,352",100
"151","6,406","Blanco County","Race: County Attorney","DEBORAH EARLEY","R","I","6,406",100
"152","1,786","Blanco County","Race: County Commissioner Pct. 1","MATT LEWIS","D","N","399",22.3404255319149
"153","1,786","Blanco County","Race: County Commissioner Pct. 1","TOMMY WEIR","R","I","1,387",77.6595744680851
"154","1,493","Blanco County","Race: County Commissioner Pct. 3","CHRIS W. LIESMANN","R","I","1,493",100
"155","6314/39407","Blanco County","Race: District Attorney 33rd Judicial District","WILEY B. ""SONNY"" MCAFEE","R","I","6314/39407",NA
"156","6,420","Blanco County","Race: Sheriff","DON JACKSON","R","I","6,420",100
"157","6,473","Blanco County","Race: Tax Assessor-Collector","KRISTEN SULTEMEIER SPIES","R","I","6,473",100
"158","1","Borden County","Race: County Attorney","MARLO HOLBROOKS","R","I","1",100
"159","1","Borden County","Race: County Commissioner Pct. 1","NORMAN ""JIBBER"" HERRIDGE","R","N","1",100
"160","1","Borden County","Race: County Commissioner Pct. 3","ERNESTO REYES","R","I","1",100
"161","376/5774","Borden County","Race: District Attorney 132nd Judicial District","BEN R. SMITH","R","I","376/5774",NA
"162","1","Borden County","Race: Sheriff/Tax Assessor-Collector","BENNY RAY ALLISON","R","I","1",100
"163","3,901","Bosque County","Race: Constable Pct. 1","SCOTT FERGUSON","R","I","3,901",100
"164","3,986","Bosque County","Race: Constable Pct. 2","JAY SPARKMAN","R","N","3,986",100
"165","7,816","Bosque County","Race: County Attorney","NATALIE KOEHLER","R","I","7,816",100
"166","2,521","Bosque County","Race: County Commissioner Pct. 1","BILLY HALL","R","N","1,668",66.1642205474018
"167","2,521","Bosque County","Race: County Commissioner Pct. 1","JOHN MCPEEK","D","N","639",25.3470844902816
"168","2,063","Bosque County","Race: County Commissioner Pct. 3","LARRY PHILIPP","R","I","2,063",100
"169","7768/12977","Bosque County","Race: District Attorney 220th Judicial District","ADAM SIBLEY","R","I","7768/12977",NA
"170","8,874","Bosque County","Race: Sheriff","DANNY RAGSDALE","D","N","1,665",18.762677484787
"171","8,874","Bosque County","Race: Sheriff","TRACE HENDRICKS","R","N","7,209",81.237322515213
"172","7,928","Bosque County","Race: Tax Assessor-Collector","ARLENE SWINEY","R","I","7,928",100
"173","1","Bowie County","Race: Constable Pct. 1","CHRIS LEE","R","I","1",100
"174","1","Bowie County","Race: Constable Pct. 2","CHAD FORD","R","N","1",100
"175","1","Bowie County","Race: Constable Pct. 3","JEFF ESTES","R","I","1",100
"176","1","Bowie County","Race: Constable Pct. 4","RUSSELL CRAWFORD","R","I","1",100
